id,dialogue,summary
4fb34858,"Tom: hey whats the plan for the family reunion rn
Mia: idk my mom is handling it
Tom: ok cool whats the date
Mia: next sat
Tom: ok ill make sure to clear my schedule
Mia: yeah u should bc my grandma is gonna be there","Tom and Mia discuss the upcoming family reunion, which Mia's mom is planning."
bff0c2a4,"Alex: wanna go out tmrw night
Sam: yeah whats the plan
Alex: idk whats good
Sam: we could go to the movies or get dinner
Alex: lmao dinner sounds so basic
Sam: wyd then
Alex: how about we go to that new arcade","Alex and Sam plan a date night, considering options like the movies, dinner, or an arcade."
c25b70c6,"Ben: i need to book a flight to ny
Chris: when do u need to go
Ben: asap
Chris: ok how much are u willing to spend
Ben: idts like 500
Chris: thats a good budget ill look it up",Ben asks Chris to help book a flight to New York with a budget of $500.
28b1914d,"Emily: my car wont start ugh
Jack: what happened
Emily: idk i just got in and it wont turn on
Jack: did u check the battery
Emily: yeah thats the first thing i did
Jack: ok well i can give u a jump if u want","Emily's car won't start, and Jack offers to help her jump-start it."
51aed880,"Liam: we need to plan a surprise party for sara
Noah: yeah i know her bday is coming up
Liam: exactly so we need to make it happen
Noah: whats the plan
Liam: i was thinking we could do it at her favorite restaurant",Liam and Noah plan a surprise birthday party for Sara at her favorite restaurant.
e64693f4,"Ava: what do u wanna do tonight
Ethan: idk u
Ava: lol thats not helpful
Ethan: sorry how about we go to the beach
Ava: its too cold for that
Ethan: ok well what do u suggest","Ava and Ethan try to decide on plans for the night, considering options like the beach."
988f9404,"Julian: have u played the new mario game
Ryan: yeah its so much fun
Julian: yeah i know right
Ryan: i just got to the third level
Julian: nice i'm still on the second",Julian and Ryan discuss playing the new Mario game and their progress.
03c36fb4,"Sofia: so i just got a job offer
Daniel: congrats how much are they paying u
Sofia: 60k
Daniel: thats a good start but u should negotiate
Sofia: yeah i was thinking of asking for 70k",Sofia got a job offer for $60k and considers negotiating for a higher salary with Daniel's advice.
b12f5635,"Jackson: i need to book a flight to la
Matthew: when do u need to go
Jackson: next thurs
Matthew: ok and how many ppl are going
Jackson: just me
Matthew: alright ill look up the prices",Jackson asks Matthew to help book a flight to Los Angeles for next Thursday.
8bb554c7,"Gabriella: im feeling really sick rn
Michael: aw whats wrong
Gabriella: i dont know i just have a fever and my throat hurts
Michael: u should go to the doctor
Gabriella: yeah i think u r right","Gabriella is feeling sick with a fever and a sore throat, and Michael advises her to see a doctor."
6def3df1,"Jordan: car wont start rn
Emily: wyd try jumpin it?
Jordan: idk if thats a good idea
Emily: lol just kidding call a tow truck",Jordan's car won't start and Emily jokingly suggests jumping it before recommending a tow truck.
46273120,"Sam: need help assemblINg this desk
Mike: lol whats the problem cant even do ikea
Sam: hey its harder than it looks
Mike: ok ill come over and help u out",Sam needs help assembling a desk from IKEA and Mike agrees to assist.
2968b1cc,"David: ugh did u hear about john and his boss?
Sarah: no whats goin on
David: apparently they got into a huge fight
Sarah: lol thats crazy",David shares gossip with Sarah about a fight between John and his boss.
160cea3a,"Ava: ive been tryin to assemble this bookshelf for hrs
Liam: whats the problem
Ava: instructions are so confusing
Liam: ok ill take a look send me a pic",Ava is struggling to assemble a bookshelf and Liam offers to help by looking at a picture of the instructions.
db9587cf,"Ben: ugh its so hot outside
Chris: i know right
Ben: wish it would rain already
Chris: lol yea me too",Ben and Chris complain about the hot weather and wish it would rain.
d57cb7ae,"Ethan: hey guys study group tmrw at 5
Olivia: ok sounds good
Ethan: dont forget to bring ur notes
Olivia: got it",Ethan reminds the study group to meet tomorrow at 5 and to bring their notes.
78251b61,"Ryan: need help bookin a flight
Julia: where r u goin
Ryan: vegas
Julia: ok lemme check prices",Ryan asks Julia for help booking a flight to Vegas and she offers to check prices.
